CODCAIXA,IDCODMOVCAIXA,DATA,OBS,OPERACAO,CREDITO,DEBITO,CODUSUARIO,CODVENREC,IDREMESSA,MESLCTO,HORA,REG,IDCODDESP,OP_SANGRIA,CODVENDA,CODTIPOVENDA,ID_PROCESSAMENTO,ORIGEM_NUVEM,VALOROPERACAO,OP_ACRESCIMO,OP_DESCONTO,TIPO_LANC,OBSERVACAO
1,57,2023-07-17,Estorno Rec. Deposito - 1-Consumidor,1,1276.5,0,6,0,0,,10:21,,,,,,0,,,,,,
1,58,2023-07-17,000001 - Consumidor,30,1276.5,0,6,34,0,,10:23,,,,,,0,,,,,,
1,59,2023-07-17,Venda Deposito Bancario,3,0,1276.5,6,34,0,,10:23,,,,,,0,,,,,,
1,60,2023-07-17,000001 - Consumidor,40,0,1276.5,6,34,0,,10:25,,,,,,0,,,,,,
1,61,2023-07-17,Estorno Deposito PIX - CodVenda:000034 -,1,1276.5,0,6,0,0,,10:25,,,,,,0,,,,,,
1,62,2023-06-22,000001 - Consumidor,30,1276.5,0,6,35,0,,10:26,,,,,,0,,,,,,
1,63,2023-06-22,Venda Deposito Bancario,3,0,1276.5,6,35,0,,10:26,,,,,,0,,,,,,
1,64,2023-06-29,000001 - Consumidor,30,1210.85,0,6,36,0,,10:33,,,,,,0,,,,,,
1,65,2023-06-29,Venda Deposito Bancario,3,0,1210.85,6,36,0,,10:33,,,,,,0,,,,,,
1,66,2023-06-29,000001 - Consumidor,40,0,0.01,6,33,0,,10:34,,,,,,0,,,,,,
1,67,2023-07-17,Estorno Deposito PIX - CodVenda:000033 -,1,0.01,0,6,0,0,,10:34,,,,,,0,,,,,,
1,68,2023-07-03,000001 - Consumidor,30,2529.44,0,6,37,0,,10:42,,,,,,0,,,,,,
1,69,2023-07-03,Venda Deposito Bancario,3,0,2529.44,6,37,0,,10:42,,,,,,0,,,,,,
1,70,2023-07-03,000001 - Consumidor,30,580,0,6,38,0,,10:47,,,,,,0,,,,,,
1,71,2023-07-03,000001 - Consumidor,40,0,580,6,38,0,,10:48,,,,,,0,,,,,,
1,72,2023-07-03,000001 - Consumidor,30,580,0,6,39,0,,10:48,,,,,,0,,,,,,
1,73,2023-07-03,Venda Deposito Bancario,3,0,580,6,39,0,,10:48,,,,,,0,,,,,,
1,74,2023-07-04,000001 - Consumidor,30,4319,0,6,40,0,,10:54,,,,,,0,,,,,,
1,75,2023-07-04,Venda Deposito Bancario,3,0,4319,6,40,0,,10:54,,,,,,0,,,,,,
1,76,2023-07-05,000001 - Consumidor,30,4000.04,0,6,41,0,,10:58,,,,,,0,,,,,,
1,77,2023-07-05,Venda Deposito Bancario,3,0,4000.04,6,41,0,,10:58,,,,,,0,,,,,,
1,78,2023-07-05,000001 - Consumidor,30,1336.67,0,6,42,0,,11:00,,,,,,0,,,,,,
1,79,2023-07-05,Venda Deposito Bancario,3,0,1336.67,6,42,0,,11:00,,,,,,0,,,,,,
1,80,2023-07-17,000001 - Consumidor,30,40,0,6,43,0,,15:16,,,,,,0,,,,,,
1,81,2023-07-17,Venda Deposito Bancario,3,0,40,6,43,0,,15:16,,,,,,0,,,,,,
1,82,2023-07-17,000001 - Consumidor,40,0,40,6,43,0,,15:17,,,,,,0,,,,,,
