CODVENDA,CODITEM,CODPROD,QUANTIDADE,VALORUNIT,DESCRICAOMO,DEST,VALORCUSTO,CODTIPPROD,CODFUNC,COMISSAOPORCEN,PRECOCERTO,PESOPRODUTO,DATA,MES,VALORDESCONTO,DARBAIXA,ESTORNADO,BAIXADO,DELETADO,CODBAIXA,IDREMESSA,PRODMO,PRODMONTADO,IMPRESSO,GRADE,MOTIVODEL,IMPRECEITA,PRECOAPRAZO,OK_COZINHA,VALORTOTAL,VALTOTAL_PRECOCERTO,IAT,IPPT,DESC_PRODUTO,CODALIQUOTA,IT_DESCONTO,IT_ACRESCIMO,UNIDADE,INFOADICIONAL,BAIXARRECEITA,CFOP,TAB_TOTALIZADOR,COO,CCF,DESCTOTAL_SPED,COR,PPIS,PCOFINS,VPIS,VCOFINS,ACRESTOTAL_SPED,AUT_DELBD,QUANT_RESERVADA,REG_MD5,VAL_INCLUSAO,PRECOTABELA,CUSTOMEDIO,TOTAL_IMPOSTOS,NCM_PROD,ORIGEM_MERC_PROD,P_COMPRAPROD,PRODRESERVADO,IDSETOR,CUSTO_VARIAVEL,PERCCUSTO_VARIAVEL,ROMANEIO_ID,CODPROMOCAO,RESERV_ARETIRAR,BLOQ_COMISSAO,COMISSAO_PROD,VAZILHAME_OP,VAZILHAME_QUANTEMP,ICMS_ST,LOTE,AMBIENTE_ORC,ID_RESTRICAO,DEF_ENTREGA,PQUANT_DECIMAIS,BLOQ_DESCITEM,KIT_CODPROD
23,1,000006,1,900,,,0.01,MO,0,0,900,,2023-06-22,06/2023,0,1,0,1,0,169194,,0,0,,,,,900,,900,900,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,22021000,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
24,1,000006,1,716.33,,,0.01,MO,0,0,716.33,,2023-06-26,06/2023,0,1,0,1,0,74327,,0,0,,,,,716.33,,716.33,716.33,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,22021000,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
25,1,000004,1,733.8,,,0.01,MO,0,0,733.8,,2023-06-26,06/2023,0,1,0,1,0,187678,,0,0,,,,,733.8,,733.8,733.8,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,22021000,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
25,2,000006,1,414.49,,,0.01,MO,0,0,414.49,,2023-06-26,06/2023,0,1,0,1,0,187678,,0,0,,,,,414.49,,414.49,414.49,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,22021000,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
26,1,000004,1,3064.92,,,0.01,MO,0,0,3064.92,,2023-06-27,06/2023,0,1,0,1,0,12953,,0,0,,,,,3064.92,,3064.92,3064.92,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,22021000,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
26,2,000003,1,195,,,0.01,MO,0,0,195,,2023-06-27,06/2023,0,1,0,1,0,12953,,0,0,,,,,195,,195,195,T,T,ENS. FUNDAMENTAL 1. a 5. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,22021000,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
27,1,999998,1,1,,,1,01,0,0,1,,2023-07-15,07/2023,0,1,1,1,0,199830,,0,0,,,,,1,,1,1,T,T,NF EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,1,1,,17019900,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
28,1,999998,1,1,,,1,01,0,0,1,,2023-07-15,07/2023,0,1,1,1,0,139339,,0,0,,,,,1,,1,1,T,T,NF EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,1,1,,17019900,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
29,1,000002,1,1,,,0.01,MO,0,0,1,,2023-07-15,07/2023,0,1,1,1,0,228805,,0,0,,,,,1,,1,1,T,T,EDUCAÇAO INFATIL- MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,99999999,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
30,1,999998,1,1,,,1,01,0,0,1,,2023-07-15,07/2023,0,1,1,1,0,148068,,0,0,,,,,1,,1,1,T,T,NF EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,NN,0,0,UN,0,,5102,,,,0,,,,,,0,,0,,,1,1,,17019900,0,1,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
