CODVENDA,CODITEM,CODPROD,QUANTIDADE,VALORUNIT,DESCRICAOMO,DEST,VALORCUSTO,CODTIPPROD,CODFUNC,COMISSAOPORCEN,PRECOCERTO,PESOPRODUTO,DATA,MES,VALORDESCONTO,DARBAIXA,ESTORNADO,BAIXADO,DELETADO,CODBAIXA,IDREMESSA,PRODMO,PRODMONTADO,IMPRESSO,GRADE,MOTIVODEL,IMPRECEITA,PRECOAPRAZO,OK_COZINHA,VALORTOTAL,VALTOTAL_PRECOCERTO,IAT,IPPT,DESC_PRODUTO,CODALIQUOTA,IT_DESCONTO,IT_ACRESCIMO,UNIDADE,INFOADICIONAL,BAIXARRECEITA,CFOP,TAB_TOTALIZADOR,COO,CCF,DESCTOTAL_SPED,COR,PPIS,PCOFINS,VPIS,VCOFINS,ACRESTOTAL_SPED,AUT_DELBD,QUANT_RESERVADA,REG_MD5,VAL_INCLUSAO,PRECOTABELA,CUSTOMEDIO,TOTAL_IMPOSTOS,NCM_PROD,ORIGEM_MERC_PROD,P_COMPRAPROD,PRODRESERVADO,IDSETOR,CUSTO_VARIAVEL,PERCCUSTO_VARIAVEL,ROMANEIO_ID,CODPROMOCAO,RESERV_ARETIRAR,BLOQ_COMISSAO,COMISSAO_PROD,VAZILHAME_OP,VAZILHAME_QUANTEMP,ICMS_ST,LOTE,AMBIENTE_ORC,ID_RESTRICAO,DEF_ENTREGA,PQUANT_DECIMAIS,BLOQ_DESCITEM,KIT_CODPROD
385,1,000011,1,40,,,0.01,MO,0,0,40,,2023-11-08,11/2023,0,1,0,1,0,209597,,0,0,,,,,40,,40,40,T,T,PROVAS,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
386,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-08,11/2023,0,1,0,1,0,66052,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
387,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-08,11/2023,0,1,0,1,0,238784,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
388,1,000004,1,1120,,,0.01,MO,0,0,1120,,2023-11-08,11/2023,0,1,0,1,0,6314,,0,0,,,,,1120,,1120,1120,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
389,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-09,11/2023,0,1,0,1,0,159531,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
390,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-09,11/2023,0,1,0,1,0,77363,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
391,1,000006,1,1751,,,0.01,MO,0,0,1751,,2023-11-09,11/2023,0,1,0,1,0,279849,,0,0,,,,,1751,,1751,1751,T,T,ENSINO MÉDIO MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
392,1,000004,1,725,,,0.01,MO,0,0,725,,2023-11-10,11/2023,0,1,0,1,0,87187,,0,0,,,,,725,,725,725,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
393,1,000011,1,40,,,0.01,MO,0,0,40,,2023-11-10,11/2023,0,1,0,1,0,151351,,0,0,,,,,40,,40,40,T,T,PROVAS,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
394,1,000003,1,264.38,,,0.01,MO,0,0,264.38,,2023-11-10,11/2023,0,1,0,1,0,56659,,0,0,,,,,264.38,,264.38,264.38,T,T,ENS. FUNDAMENTAL 1. a 5. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
395,1,000014,1,101,,,0.01,MO,0,0,101,,2023-11-10,11/2023,0,1,0,1,0,5382,,0,0,,,,,101,,101,101,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
396,1,000002,1,725,,,0.01,MO,0,0,725,,2023-11-10,11/2023,0,1,0,1,0,204398,,0,0,,,,,725,,725,725,T,T,EDUCAÇAO INFATIL- MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,99999999,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
397,1,000002,1,640,,,0.01,MO,0,0,640,,2023-11-10,11/2023,0,1,0,1,0,69733,,0,0,,,,,640,,640,640,T,T,EDUCAÇAO INFATIL- MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,99999999,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
398,1,000004,1,1200,,,0.01,MO,0,0,1200,,2023-11-13,11/2023,0,1,0,1,0,173716,,0,0,,,,,1200,,1200,1200,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
399,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-13,11/2023,0,1,0,1,0,89756,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
400,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-13,11/2023,0,1,0,1,0,87103,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
401,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-13,11/2023,0,1,0,1,0,88564,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
402,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-13,11/2023,0,1,0,1,0,238348,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
403,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-13,11/2023,0,1,0,1,0,21876,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
404,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-13,11/2023,0,1,0,1,0,54296,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
405,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-13,11/2023,0,1,0,1,0,107974,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
406,1,000017,1,151,,,0.01,MO,0,0,151,,2023-11-13,11/2023,0,1,0,1,0,194321,,0,0,,,,,151,,151,151,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
407,1,000004,1,1320,,,0.01,MO,0,0,1320,,2023-11-13,11/2023,0,1,0,1,0,209056,,0,0,,,,,1320,,1320,1320,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
408,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-13,11/2023,0,1,0,1,0,224628,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
409,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-13,11/2023,0,1,0,1,0,56677,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
410,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-13,11/2023,0,1,0,1,0,256814,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
411,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-13,11/2023,0,1,1,1,0,199180,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
412,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-13,11/2023,0,1,1,1,0,223600,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
413,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-14,11/2023,0,1,0,1,0,49335,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
414,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,1,1,0,72,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
415,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,110732,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
416,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-14,11/2023,0,1,0,1,0,198029,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
417,1,000003,1,840.5,,,0.01,MO,0,0,840.5,,2023-11-14,11/2023,0,1,0,1,0,252951,,0,0,,,,,840.5,,840.5,840.5,T,T,ENS. FUNDAMENTAL 1. a 5. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
418,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,91087,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
419,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,196009,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
420,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,208109,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
421,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,6824,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
422,1,000004,1,810,,,0.01,MO,0,0,810,,2023-11-14,11/2023,0,1,0,1,0,154982,,0,0,,,,,810,,810,810,T,T,ENS. FUNDAMENTAL 6. a 9. MENSALIDADE,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
423,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-14,11/2023,0,1,0,1,0,272457,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
424,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,41208,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
425,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,154245,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
426,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-14,11/2023,0,1,0,1,0,21076,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
427,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,199043,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
428,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-14,11/2023,0,1,0,1,0,107397,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
429,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-14,11/2023,0,1,0,1,0,38236,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
430,1,000014,1,48,,,0.01,MO,0,0,48,,2023-11-14,11/2023,0,1,0,1,0,231950,,0,0,,,,,48,,48,48,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
431,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-14,11/2023,0,1,0,1,0,102481,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
432,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,269176,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
433,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,144452,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
434,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,138057,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
435,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,50159,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
436,1,000017,1,145,,,0.01,MO,0,0,145,,2023-11-16,11/2023,0,1,0,1,0,228005,,0,0,,,,,145,,145,145,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
437,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-16,11/2023,0,1,0,1,0,234869,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
438,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-16,11/2023,0,1,0,1,0,44643,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
439,1,000014,1,50,,,0.01,MO,0,0,50,,2023-11-16,11/2023,0,1,0,1,0,161946,,0,0,,,,,50,,50,50,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
440,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,218188,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
441,1,000011,1,30,,,0.01,MO,0,0,30,,2023-11-16,11/2023,0,1,0,1,0,76534,,0,0,,,,,30,,30,30,T,T,PROVAS,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
442,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,242508,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
443,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,214486,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
444,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,263535,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
445,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,162531,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
446,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,46626,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
447,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,3183,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
448,1,000017,1,190,,,0.01,MO,0,0,190,,2023-11-16,11/2023,0,1,0,1,0,221669,,0,0,,,,,190,,190,190,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
449,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-16,11/2023,0,1,0,1,0,162016,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
450,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,251699,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
451,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,297349,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
452,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-16,11/2023,0,1,0,1,0,172945,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
453,1,000014,1,50,,,0.01,MO,0,0,50,,2023-11-16,11/2023,0,1,0,1,0,92606,,0,0,,,,,50,,50,50,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
454,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,201569,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
455,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,257757,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
456,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,94988,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
457,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,164960,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
458,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,122868,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
459,1,000017,1,150,,,0.01,MO,0,0,150,,2023-11-16,11/2023,0,1,0,1,0,96297,,0,0,,,,,150,,150,150,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
460,1,000017,1,122.5,,,0.01,MO,0,0,122.5,,2023-11-16,11/2023,0,1,0,1,0,132581,,0,0,,,,,122.5,,122.5,122.5,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
461,1,000017,1,95,,,0.01,MO,0,0,95,,2023-11-16,11/2023,0,1,0,1,0,267942,,0,0,,,,,95,,95,95,T,T,ACAMPAMENTO LEÃO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
462,1,000014,1,55,,,0.01,MO,0,0,55,,2023-11-16,11/2023,0,1,0,1,0,26986,,0,0,,,,,55,,55,55,T,T,CAMISETAS ACAMPAMENTO,NN,0,0,UN,0,,5933,,,,0,,,,,,0,,0,,,0.01,0.01,,,0,0.01,0,0,0,0,,0,0,0,0,,,0,,,0,,,,
